epoch,batches,loss,accuracy
0,400,148.4997381977737,0.8641
0,800,74.11454313597642,0.9086
0,1200,63.08366696489975,0.9043
0,1600,54.98014674289152,0.9075
0,2000,58.95548903394956,0.913
0,2400,55.621071491914336,0.9201
0,2800,54.78232884022873,0.919
0,3200,45.2923907963559,0.9253
0,3600,47.79612652596552,0.9282
0,4000,48.936446396110114,0.93
0,4400,44.08007420078502,0.93
0,4800,43.322513220162364,0.9323
0,5200,38.83338481627288,0.9363
0,5600,40.92253125071875,0.9377
0,6000,41.86970767844468,0.9374
0,6400,36.887183832295705,0.9386
0,6800,40.3653604266583,0.9392
0,7200,36.66801080998266,0.9396
1,400,156.73425843566656,0.9162
1,800,104.55661096610129,0.9168
1,1200,89.86385335680097,0.9248
1,1600,89.87797593325377,0.9255
1,2000,86.0638741357252,0.9271
1,2400,77.72607645671815,0.9219
1,2800,77.80968836136162,0.9275
1,3200,79.54932921007276,0.9324
1,3600,75.05775933573022,0.9307
1,4000,76.43054723693058,0.9338
1,4400,71.76237726351246,0.9325
1,4800,67.22039342205971,0.9336
1,5200,64.74641873454675,0.938
1,5600,66.58824001206085,0.9369
1,6000,63.63258155621588,0.9375
1,6400,66.32195500005037,0.9378
1,6800,68.31988722505048,0.9377
1,7200,62.809691743925214,0.9384
2,400,83.97062609298155,0.9213
2,800,91.86516711115837,0.927
2,1200,83.3963769422844,0.9317
2,1600,94.05683788238093,0.9268
2,2000,79.59641232946888,0.9327
2,2400,86.95921818353236,0.9263
2,2800,80.62981220893562,0.9298
2,3200,86.21258714050055,0.9354
2,3600,83.1446788306348,0.9357
2,4000,82.83155284030363,0.9367
2,4400,76.34363334067166,0.9343
2,4800,73.77167947287671,0.9358
2,5200,71.24516735691577,0.9376
2,5600,69.95292085036635,0.9382
2,6000,66.94501662719995,0.9385
2,6400,70.9710545851849,0.9395
2,6800,75.14085377240553,0.9407
2,7200,64.05129006388597,0.9403
3,400,87.20956469001248,0.9316
3,800,97.30499979807064,0.9331
3,1200,82.98227248992771,0.9337
3,1600,99.63329696189612,0.9214
3,2000,95.25926984520629,0.9278
3,2400,89.777996604098,0.9326
3,2800,82.8286336986348,0.9289
3,3200,85.81738620321266,0.9302
3,3600,79.84634392289445,0.9366
3,4000,80.83609503973275,0.9338
3,4400,75.39919000840746,0.9352
3,4800,77.4147627116181,0.9388
3,5200,74.09365222824272,0.9394
3,5600,76.27281786873937,0.9396
3,6000,66.9492296250537,0.9411
3,6400,76.13437680574134,0.9408
3,6800,74.30984523752704,0.9406
3,7200,74.62812443822622,0.9411
4,400,85.54768615704961,0.9326
4,800,85.40073402645066,0.923
4,1200,95.15923256101087,0.9289
4,1600,101.06941442610696,0.935
4,2000,103.41066433116794,0.9293
4,2400,85.0825389593374,0.9308
4,2800,88.36026356951334,0.9329
4,3200,88.45236114924774,0.9351
4,3600,88.20548895699903,0.9355
4,4000,88.86186618707143,0.9386
4,4400,80.29695792659186,0.9377
4,4800,86.10419406276196,0.9358
4,5200,76.50573945837095,0.9387
4,5600,77.4703354369849,0.9382
4,6000,76.08045728132129,0.9408
4,6400,73.31418213946745,0.9402
4,6800,75.57977073965594,0.9411
4,7200,79.1400892152451,0.9412
5,400,87.85902205761522,0.929
5,800,98.0738325077109,0.9332
5,1200,88.04985818255227,0.9223
5,1600,96.79839994618669,0.9332
5,2000,90.63563717110083,0.9279
5,2400,95.84261175524443,0.934
5,2800,98.00316277495585,0.9339
5,3200,89.65536501724273,0.931
5,3600,80.58577984385192,0.9371
5,4000,91.3661976440344,0.9349
5,4400,90.8164867029991,0.941
5,4800,78.86202706070617,0.9405
5,5200,83.5925692000892,0.9398
5,5600,85.5462370251771,0.9402
5,6000,82.79286513238912,0.9412
5,6400,78.51994110760279,0.9412
5,6800,77.49479477340356,0.9414
5,7200,71.64348735613748,0.9418
6,400,83.18154483567923,0.9172
6,800,96.86260778643191,0.9331
6,1200,96.5323326443322,0.9252
6,1600,108.09557245532051,0.9333
6,2000,100.50213908078149,0.9357
6,2400,93.29049946274608,0.9319
6,2800,96.37125429173466,0.9352
6,3200,83.17973860958591,0.934
6,3600,82.76820352452341,0.9362
6,4000,86.98527577728964,0.9376
6,4400,75.24501328135375,0.9392
6,4800,97.85664385627024,0.9374
6,5200,84.73363247979432,0.9404
6,5600,81.65317776869051,0.9399
6,6000,85.35770415142179,0.9411
6,6400,84.19326541922055,0.9414
6,6800,86.90846313931979,0.9426
6,7200,83.11565260530915,0.9428
7,400,99.37486956454813,0.9325
7,800,101.43466594978236,0.932
7,1200,95.3853145702742,0.9308
7,1600,111.70146884722635,0.9286
7,2000,106.17336342204362,0.9292
7,2400,101.97120599239133,0.9312
7,2800,98.52109500695951,0.929
7,3200,98.26880601420999,0.9321
7,3600,95.55937502346933,0.9317
7,4000,95.33026674785651,0.9342
7,4400,77.53026925539598,0.9338
7,4800,91.42808284738567,0.9349
7,5200,86.55975984770339,0.9363
7,5600,85.55970309255645,0.9369
7,6000,87.04959420696832,0.9378
7,6400,90.16713462537155,0.9382
7,6800,86.71968003548682,0.9379
7,7200,84.99069808016066,0.938
8,400,96.07898653286975,0.9206
8,800,113.82345791347325,0.9327
8,1200,120.98108335351571,0.9302
8,1600,104.76682832580991,0.9231
8,2000,112.5119214928709,0.9292
8,2400,93.09719961928204,0.9325
8,2800,87.42391257849522,0.9312
8,3200,108.59274831681978,0.9333
8,3600,93.68836166337132,0.9288
8,4000,98.37866727611981,0.9312
8,4400,94.40599981462583,0.9321
8,4800,109.26781281782314,0.9333
8,5200,89.48811600916088,0.9361
8,5600,81.94292050600052,0.9365
8,6000,82.77791032008827,0.9367
8,6400,92.02833534986712,0.9377
8,6800,81.81434286176227,0.9373
8,7200,79.12996361753903,0.9372
9,400,90.57296192133799,0.9292
9,800,102.43636033311486,0.9223
9,1200,106.57149756141007,0.9305
9,1600,117.72180314781144,0.9278
9,2000,111.98752860818058,0.9299
9,2400,113.4486218355596,0.9259
9,2800,108.09695612639189,0.9327
9,3200,98.46819446305744,0.9333
9,3600,92.75593458209187,0.9338
9,4000,95.2877038361039,0.9315
9,4400,92.0288245617412,0.9361
9,4800,97.56485599209554,0.9338
9,5200,83.67720372963231,0.9366
9,5600,90.30463735992089,0.9368
9,6000,86.30945544363931,0.9366
9,6400,86.1579787263181,0.9369
9,6800,97.2810107038822,0.9366
9,7200,89.99570073490031,0.9367
10,400,101.96317171934061,0.9341
10,800,99.3066150189843,0.9162
10,1200,113.05829182872549,0.926
10,1600,111.26920411502942,0.9275
10,2000,105.23738419869915,0.9306
10,2400,111.14280720800161,0.925
10,2800,111.39043476991355,0.9301
10,3200,102.48474059347063,0.9314
10,3600,100.15613183542155,0.9318
10,4000,96.40731500042602,0.9336
10,4400,85.54751322371885,0.9346
10,4800,96.54944635368884,0.9351
10,5200,87.62637939932756,0.9382
10,5600,96.50334112346172,0.9394
10,6000,86.70159633085132,0.9379
10,6400,89.86395915353205,0.9379
10,6800,87.62399549153633,0.9379
10,7200,78.58958155289292,0.9379
11,400,94.85027047793847,0.9256
11,800,110.74779096618295,0.9198
11,1200,101.12309649819508,0.9226
11,1600,118.32334122341126,0.9249
11,2000,106.44097083900124,0.924
11,2400,101.26617751643062,0.9305
11,2800,100.59445906081237,0.9318
11,3200,109.16313460178208,0.9317
11,3600,103.17519149370492,0.9336
11,4000,99.50935012334958,0.9346
11,4400,93.78454025718383,0.9349
11,4800,91.62254532740917,0.9345
11,5200,99.68734521069564,0.9352
11,5600,93.10936953523196,0.9364
11,6000,93.19459281943273,0.9372
11,6400,89.5638029621914,0.938
11,6800,88.39828964718617,0.9374
11,7200,89.65771663188934,0.9373
12,400,92.71045848727226,0.9349
12,800,107.84954787185416,0.9232
12,1200,118.09280555974692,0.9313
12,1600,104.52081727678888,0.9239
12,2000,108.92007059691241,0.9274
12,2400,103.77504082140513,0.9356
12,2800,122.4494705311954,0.935
12,3200,100.6428676082287,0.9306
12,3600,97.73828322603367,0.933
12,4000,101.94589175097644,0.9321
12,4400,90.60125394701026,0.9357
12,4800,101.11715724389069,0.9322
12,5200,86.9011955257738,0.9356
12,5600,90.2259826483205,0.936
12,6000,87.33395661145914,0.9362
12,6400,85.82417671446456,0.9366
12,6800,84.13412898743991,0.9369
12,7200,84.47770474664867,0.9369
13,400,89.25295952893794,0.9337
13,800,94.5682451822795,0.9308
13,1200,101.80243746226188,0.9333
13,1600,105.09170510456897,0.9306
13,2000,108.96364318626001,0.9325
13,2400,115.00461073219776,0.9346
13,2800,102.20543118170463,0.9329
13,3200,110.84315236052498,0.9352
13,3600,100.23121442517731,0.9355
13,4000,95.44197325967252,0.9346
13,4400,92.59059635736048,0.9342
13,4800,89.82855017785914,0.935
13,5200,83.36701345141046,0.937
13,5600,95.99709431128576,0.9373
13,6000,92.68092686799355,0.9363
13,6400,100.1791168176569,0.9364
13,6800,74.22057134180795,0.9369
13,7200,86.48937444353942,0.9371
14,400,93.30458780261688,0.9312
14,800,101.01224623515736,0.9296
14,1200,99.754951544106,0.9291
14,1600,112.03449497104157,0.9333
14,2000,90.66073231725022,0.9327
14,2400,106.44032959127799,0.9335
14,2800,94.86073804914486,0.9329
14,3200,111.06558993784711,0.9295
14,3600,105.07772564713378,0.9368
14,4000,95.57165338483173,0.9312
14,4400,91.03946288593579,0.9348
14,4800,110.42561328224838,0.9327
14,5200,86.985182610224,0.9368
14,5600,79.69652882433729,0.9364
14,6000,90.9369952530833,0.9373
14,6400,96.97434506111313,0.9384
14,6800,86.42753443703987,0.9378
14,7200,81.19526612898335,0.9379
15,400,93.64795393007807,0.9326
15,800,102.68130752141587,0.9294
15,1200,106.24631933122873,0.9341
15,1600,103.82051524496637,0.9311
15,2000,90.66915087238885,0.927
15,2400,98.94002110441215,0.932
15,2800,99.5344822818879,0.9299
15,3200,88.96229814202525,0.9312
15,3600,93.98653487674892,0.9344
15,4000,90.10019260947593,0.9367
15,4400,97.77888456027722,0.935
15,4800,89.05621686641825,0.9372
15,5200,87.69106388138607,0.9366
15,5600,96.38900258997455,0.9363
15,6000,92.64592058584094,0.9372
15,6400,81.05859576922376,0.9385
15,6800,86.16957505163737,0.9387
15,7200,82.23672385781538,0.9382
16,400,89.45801980915712,0.9309
16,800,100.3765105183702,0.9205
16,1200,104.06765745789744,0.934
16,1600,88.95694669906516,0.9284
16,2000,120.58096801140346,0.9281
16,2400,98.67381709325127,0.9295
16,2800,78.69258729112335,0.9322
16,3200,119.33919830620289,0.9318
16,3600,97.34177260345314,0.9351
16,4000,92.40616404794855,0.9366
16,4400,95.75567776919343,0.9369
16,4800,93.21969620825257,0.9365
16,5200,94.46582080214284,0.9376
16,5600,95.21100719994865,0.9379
16,6000,94.19313911697827,0.9389
16,6400,80.77308362617623,0.939
16,6800,75.77935547113884,0.9393
16,7200,96.85294566408265,0.9391
17,400,99.1257348721847,0.9333
17,800,113.05036719189957,0.9311
17,1200,118.0583250313066,0.928
17,1600,98.06835381081328,0.934
17,2000,108.42344594444148,0.9286
17,2400,97.5412688232027,0.9355
17,2800,95.68622304918244,0.923
17,3200,107.58114501682576,0.9334
17,3600,91.67369625269203,0.9348
17,4000,95.97646738798358,0.9368
17,4400,96.45116900833091,0.9334
17,4800,86.14231935178395,0.9375
17,5200,88.96347978792619,0.9383
17,5600,86.98852845458896,0.9377
17,6000,83.92503199388739,0.937
17,6400,77.97982901893556,0.9374
17,6800,99.08280301577179,0.9377
17,7200,82.06862904573791,0.9373
18,400,92.3690744888736,0.9332
18,800,106.16414613300003,0.9268
18,1200,102.26767270429991,0.9283
18,1600,121.98848281049868,0.9277
18,2000,108.63904729601927,0.9264
18,2400,97.92926732159685,0.9302
18,2800,98.65390759566799,0.9274
18,3200,107.96118180337362,0.9279
18,3600,106.73873205808923,0.9282
18,4000,106.44579774769954,0.9276
18,4400,97.38164468365721,0.9299
18,4800,82.67046055622632,0.9335
18,5200,91.72356965433573,0.9334
18,5600,84.27351362130139,0.9336
18,6000,82.39024331298424,0.9355
18,6400,91.22885207622312,0.9355
18,6800,86.5866634073318,0.9355
18,7200,78.10439131746534,0.9352
19,400,101.2257393746986,0.9291
19,800,93.86186258378439,0.9326
19,1200,106.46593484724872,0.9288
19,1600,109.11446441104636,0.9318
19,2000,116.46749390172772,0.9312
19,2400,93.9630225521978,0.9261
19,2800,98.443186562974,0.9328
19,3200,89.80984191369498,0.9325
19,3600,98.3943064743653,0.9333
19,4000,97.80430806917138,0.9341
19,4400,87.6251079919748,0.934
19,4800,97.67339659138815,0.9347
19,5200,89.05603379383683,0.9347
19,5600,86.91341965587344,0.9348
19,6000,94.84614045202034,0.9363
19,6400,93.34766734577715,0.9362
19,6800,85.82584792398848,0.9359
19,7200,88.10144887049682,0.9362
20,400,96.59748633240815,0.916
20,800,102.6297399076866,0.9276
20,1200,106.47092025441816,0.9309
20,1600,101.06773065472953,0.9275
20,2000,96.08100165938959,0.9316
20,2400,101.11730120051652,0.9313
20,2800,96.88234533066861,0.9323
20,3200,103.34419692959636,0.9337
20,3600,99.41810583334882,0.9299
20,4000,117.65017681871541,0.9308
20,4400,94.84831003152067,0.937
20,4800,97.5852709733881,0.937
20,5200,94.42357902351068,0.9352
20,5600,92.09495741163846,0.9355
20,6000,84.944311829051,0.9363
20,6400,91.86472468310967,0.938
20,6800,84.28707322920673,0.9384
20,7200,85.52189498767257,0.9381
21,400,88.08211687469156,0.9336
21,800,103.80883350363001,0.9353
21,1200,96.40446095750667,0.925
21,1600,106.40940446930472,0.9339
21,2000,93.77286447957158,0.9329
21,2400,97.6932525462471,0.9325
21,2800,102.7616222113138,0.9284
21,3200,97.59761005616747,0.9303
21,3600,123.3777029318735,0.933
21,4000,114.95522312261164,0.9345
21,4400,96.75903526786715,0.9343
21,4800,90.74019329925068,0.9365
21,5200,95.8130228293594,0.9367
21,5600,79.80186241283081,0.9368
21,6000,90.79628121445421,0.9358
21,6400,80.81648857763503,0.9363
21,6800,88.40766791952774,0.9367
21,7200,90.9745718871709,0.9373
22,400,95.14141708496027,0.928
22,800,100.90738583973143,0.9291
22,1200,97.14227137848502,0.9343
22,1600,103.39077215851285,0.9221
22,2000,111.33583494473714,0.9271
22,2400,104.4639551541768,0.9281
22,2800,101.13584739947692,0.9325
22,3200,108.54091334540863,0.9369
22,3600,90.32693118805764,0.9333
22,4000,87.93062485495466,0.9322
22,4400,95.28346659243107,0.9338
22,4800,83.26016958337277,0.9352
22,5200,86.28260403941385,0.9348
22,5600,80.22745083580958,0.9354
22,6000,90.1335594233824,0.9355
22,6400,91.2550076105399,0.9361
22,6800,84.31682350393385,0.9367
22,7200,76.84847504866775,0.9366
23,400,82.36950173263904,0.9301
23,800,106.21966170193627,0.9263
23,1200,98.14383052382618,0.9315
23,1600,102.49280452076346,0.9267
23,2000,113.4495132099837,0.9261
23,2400,95.788229836151,0.93
23,2800,103.85852534417063,0.9269
23,3200,95.9077832873445,0.93
23,3600,109.8115085210884,0.9292
23,4000,95.00874098343775,0.9334
23,4400,84.02925607169163,0.9348
23,4800,96.34473218541825,0.9313
23,5200,89.9883552583342,0.9328
23,5600,81.3885055721039,0.9351
23,6000,79.32084263977595,0.9353
23,6400,87.9132345628459,0.9347
23,6800,89.00671057909494,0.9344
23,7200,87.0700671056984,0.9345
24,400,94.53807784669334,0.9324
24,800,107.60732529358938,0.9086
24,1200,113.29643540340476,0.9253
24,1600,101.95818865753245,0.9208
24,2000,96.87629357655533,0.9279
24,2400,110.41366127459332,0.9265
24,2800,103.46891860710457,0.9251
24,3200,100.81283051485661,0.9299
24,3600,93.80873413319932,0.9291
24,4000,98.00626066187397,0.9292
24,4400,96.64896135404706,0.9309
24,4800,91.33161269663833,0.9311
24,5200,94.81693634216208,0.9322
24,5600,80.73854415072128,0.9354
24,6000,90.35101816861425,0.9346
24,6400,84.7292524430668,0.934
24,6800,74.66450284951134,0.9339
24,7200,86.26785182603635,0.9342
25,400,90.37776102335192,0.9275
25,800,92.44923083868343,0.9268
25,1200,95.80371224600822,0.9287
25,1600,103.97596844343934,0.9313
25,2000,99.84229359321762,0.9303
25,2400,102.51166234863922,0.9286
25,2800,99.85600600764155,0.9283
25,3200,103.42461695859674,0.9346
25,3600,95.13416973489802,0.9341
25,4000,100.52467561187223,0.9315
25,4400,87.382244997425,0.932
25,4800,90.38020380877424,0.936
25,5200,80.51394786126912,0.9355
25,5600,89.50218804297037,0.9344
25,6000,87.6798901821603,0.9333
25,6400,85.09310563816689,0.9352
25,6800,98.5363456076011,0.9346
25,7200,84.40414320514537,0.9345
26,400,97.47850165842101,0.9317
26,800,105.4431795332348,0.9221
26,1200,103.00147641694639,0.9266
26,1600,109.26573140639812,0.9245
26,2000,114.76308688812423,0.9261
26,2400,111.56114536069799,0.929
26,2800,109.22487005591393,0.925
26,3200,115.84751870646141,0.9285
26,3600,100.16469344729558,0.9317
26,4000,96.56940756284166,0.9319
26,4400,93.56438382039778,0.9319
26,4800,89.61147331737448,0.932
26,5200,97.13634830486262,0.9332
26,5600,88.650700655533,0.9348
26,6000,87.61012240982382,0.9328
26,6400,81.85520328360144,0.9332
26,6800,87.600663368823,0.9341
26,7200,80.78026879095705,0.9342
27,400,98.86309491103748,0.9218
27,800,103.7393073614221,0.9299
27,1200,105.56520733330399,0.9251
27,1600,94.3514113186393,0.9285
27,2000,97.26707551628351,0.9285
27,2400,102.8539822618477,0.9245
27,2800,95.12144439772237,0.9244
27,3200,102.48308974131942,0.9297
27,3600,104.54207283281721,0.9295
27,4000,81.26440376625396,0.9317
27,4400,86.84073523443658,0.9333
27,4800,100.51466914522462,0.9324
27,5200,89.3342091916711,0.9325
27,5600,82.97185839572921,0.934
27,6000,92.559683250729,0.9335
27,6400,77.67466986831278,0.9333
27,6800,86.44386696541915,0.9338
27,7200,76.31922501136432,0.9339
28,400,105.17385402647778,0.9238
28,800,109.17629451886751,0.9223
28,1200,89.46109458338469,0.9277
28,1600,92.72151227877475,0.9305
28,2000,97.22566422226373,0.9296
28,2400,95.52448849799111,0.9307
28,2800,101.52833766047843,0.932
28,3200,92.86790350382216,0.9319
28,3600,106.30537525820546,0.9289
28,4000,94.9954343274294,0.9284
28,4400,103.29288575798273,0.9297
28,4800,88.69354978692718,0.9308
28,5200,96.79828730528243,0.9312
28,5600,80.43075297237374,0.9321
28,6000,92.23780795541825,0.9343
28,6400,80.30086849117652,0.9339
28,6800,91.35265931944014,0.9343
28,7200,89.30761959194206,0.9345
29,400,89.28498915320961,0.9285
29,800,105.36471521324711,0.9267
29,1200,96.38946498103905,0.9256
29,1600,98.29135595250409,0.9252
